2020-02-12 22:19:42,706 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2012/03/sdcl-hosts-scale, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:19:43,714 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2011/09/883, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:19:44,771 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2011/08/distributed-collaboration-grant, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:19:45,790 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2011/08/tablets, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:19:46,787 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2011/10/902, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:19:47,755 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2012/03/welcome-thomas-latoza, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:19:48,744 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2011/11/seworld-sdcl, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:19:49,980 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/author/andre/page/11, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:19:51,724 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2011/04/attending-icse, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:19:52,812 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2011/06/attending-hcic, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:19:53,801 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2011/06/brazilian-collaborators-visit-sdcl, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:19:54,797 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2011/07/848, status <200>, using cache ('styx.ics.uci.edu', 9013).
2020-02-12 22:19:55,805 - Worker-0 - INFO - Downloaded http://sdcl.ics.uci.edu/2011/06/graduates, status <200>, using cache ('styx.ics.uci.edu', 9013).
